ID	Title	URL	Version	Word count	OWE	SPURIOUS	SPECIFIC	LETTER	ROUNDUP	NON-UK EDITION	NON-ENGLISH	VIDEO	NON-DISRUPTIVE OWE	OWE_FOCUSSED	PASSES_SCREENING
Metro_2022-07-05_Gary-Lineker-and	Gary Lineker and Martin Brundle clash over British Grand Prix protestors	https://metro.co.uk/2022/07/05/f1-gary-lineker-and-martin-brundle-clash-over-british-gp-protestors-16947657/	original	428	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Metro_2022-07-04_Climate-protesters-glue	Climate protesters glue themselves to National Gallery masterpiece	https://metro.co.uk/2022/07/04/london-climate-protesters-glue-themselves-to-national-gallery-painting-16941155/	original	577	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Metro_2021-09-23_This-Morning-viewers	This Morning viewers flummoxed as activist appears naked in fight against climate change: ‘Is her bare bottom on that sofa?’	https://metro.co.uk/2021/09/23/this-morning-guest-appears-naked-in-fight-against-climate-change-15304398/	original	678	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Metro_2022-07-05_Protesters-glue-themselves	Protesters glue themselves to The Last Supper painting at Royal Academy	https://metro.co.uk/2022/07/05/protesters-glue-themselves-to-the-last-supper-painting-at-royal-academy-16944605/	original	381	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Metro_2021-08-23_Extinction-Rebellion-block	Extinction Rebellion block London road with giant table as two weeks of protests begin	https://metro.co.uk/2021/08/23/extinction-rebellion-block-london-road-with-giant-table-as-two-weeks-of-protests-begin-15135307/	original	513	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Metro_2022-04-08_Tower-Bridge-closed	Tower Bridge closed after Extinction Rebellion abseils off sides to hang banner	https://metro.co.uk/2022/04/08/tower-bridge-closed-after-extinction-rebellion-abseils-off-sides-to-hang-banner-16428516/	original	440	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Metro_2021-03-02_Boss-with-UKs	Boss with UK’s biggest salary of £343,000,000 – that’s £940,000 a day	https://metro.co.uk/2021/03/02/hedge-fund-boss-takes-home-uks-biggest-ever-salary-of-343-million-14174462/	original	286	No	No	No	No	No	No	No	No	No	Unused	No
Sun_2021-10-28_NAKED-TRUTH-Topless	NAKED TRUTH Topless Extinction Rebellion protester goes TOTALLY nude in Downing Street protest	https://www.thesun.co.uk/news/16565724/topless-extinction-rebellion-protester-totally-nude-downing-street-protest/	original	357	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Sun_2021-09-23_BARE-NECESSITIES-Who	BARE NECESSITIES Who is OnlyFans model Laura Amherst?	https://www.thesun.co.uk/news/16221167/laura-amherst-who-onlyfans-extinction-rebellion/	original	400	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Sun_2020-11-05_SIMON-SAYS-Who	SIMON SAYS Who is Simon Stevens and what is the NHS England CEO’s salary?	https://www.thesun.co.uk/news/6257337/simon-stevens-nhs-salary/	original	290	No	Yes	No	No	No	No	No	No	No	Unused	No
Sun_2021-10-18_ROAD-RAGE-Dramatic	ROAD RAGE Dramatic moment furious motorist in Range Rover drives into Insulate Britain protesters blocking the road	https://www.thesun.co.uk/news/16459499/drives-into-insulate-britain-protesters-blocking/	original	437	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Sun_2021-09-13_ROAD-TO-HELL	ROAD TO HELL M25 traffic: More than 90 Extinction Rebellion-style eco-warriors arrested after causing FIVE hours of queues	https://www.thesun.co.uk/news/16122394/m25-traffic-extinction-rebellion-five-hours-queues/	original	591	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Sun_2022-11-07_LOVEDUP-Just-Stop	LOVED-UP Just Stop Oil ‘mastermind’ Roger Hallam pledged to ‘organise the coming revolution’ with lover half his age	https://www.thesun.co.uk/news/20354737/eco-mob-just-stop-oil-roger-hallam-lover/	original	485	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Sun_2021-06-10_WATCHFUL-EYE-Britains	WATCHFUL EYE Britain’s newest £3.3bn aircraft carrier keeps watch in Carbis Bay ahead of Biden’s showdown with Boris Johnson	https://www.thesun.co.uk/news/15226008/aircraft-carrier-carbis-bay-johnson-biden/	original	1039	No	No	No	No	No	No	No	No	No	Unused	No
Sun_2023-01-10_JUST-STOP-TAKING	JUST STOP TAKING CASH Sir Keir Starmer urged to return £360k of donations from eco-warrior bankrolling Just Stop Oil	https://www.thesun.co.uk/news/21003556/keir-starmer-360k-donations-just-stop-oil/	original	245	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Sun_2023-02-09_WOKE-UP-What	WOKE UP What does being woke mean? Definition and meaning explained	https://www.thesun.co.uk/news/10760207/woke-meaning-definition/	original	728	No	No	No	No	No	No	No	No	No	Unused	No
Telegraph_2021-11-27_Keira-Knightley-Its	Keira Knightley: 'It's impossible to be liked by everyone'	https://www.telegraph.co.uk/films/0/keira-knightley-impossible-liked-everyone/	original	2488	No	No	No	No	No	No	No	No	No	Unused	No
Telegraph_2022-05-09_The-Queen-to	The Queen to miss State Opening of Parliament for first time in nearly 60 years	https://www.telegraph.co.uk/royal-family/2022/05/09/queen-miss-state-opening-parliament/	original	1250	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Telegraph_2021-10-08_Insulate-Britain-protester	Insulate Britain protester Cameron Ford admits 'I'm not perfect' after photos emerge of his 10,000-mile holiday	https://www.telegraph.co.uk/news/2021/10/07/not-perfect-says-insulate-britain-protester-photos-emerge-10000/	original	527	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Telegraph_2022-10-16_Just-Stop-Oil	Just Stop Oil protesters spray paint over Aston Martin showroom and block Park Lane	https://www.telegraph.co.uk/news/2022/10/16/just-stop-oil-protesters-throw-paint-aston-martin-showroom-block/	original	705	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Telegraph_2021-02-13_I-wont-rest	‘I won’t rest until my daughter is safe and out of that tunnel’	https://www.telegraph.co.uk/news/2021/02/13/wont-rest-daughter-safe-tunnel/	original	1698	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Telegraph_2020-10-03_Sir-David-Attenborough	Sir David Attenborough: 'I've been talking about this for 30 years... and nobody’s taken any notice'	https://www.telegraph.co.uk/men/thinking-man/sir-david-attenborough-talking-30-years-nobodys-taken-notice/	original	3709	No	No	Yes	No	No	No	No	No	No	Unused	No
Telegraph_2022-01-18_Toffs-behaving-badly	Toffs behaving badly: how the ‘Filthy Fulfords’ cleaned up	https://www.telegraph.co.uk/tv/0/toffs-behaving-badly-filthy-fulfords-cleaned/	original	1278	No	No	No	No	No	No	No	No	No	Unused	No
Telegraph_2021-06-20_Chris-Packham-hits	Chris Packham hits back at claims of long-haul 'eco-hypocrisy' in clash with Lord Botham	https://www.telegraph.co.uk/news/2021/06/20/chris-packham-accused-hypocrisy-lord-botham-backing-xr-long/	original	852	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Telegraph_2022-05-16_Keir-Starmer-would	Keir Starmer would be admitting total defeat if he joined a silly 'progressive pact'	https://www.telegraph.co.uk/news/2022/05/16/keir-starmer-would-admitting-total-defeat-joined-silly-progressive/	original	877	No	No	No	No	No	No	No	No	No	Unused	No
The-Times_2022-04-15_Just-Stop-Oil	Just Stop Oil protester: I don’t care if I’m the most hated man in Britain — I’ll ruin my life to give others a future	https://www.thetimes.com/uk/environment/article/just-stop-oil-protester-i-dont-care-if-im-the-most-hated-man-in-britain-ill-ruin-my-life-to-give-others-a-future-vpd0v3cxk	original	1300	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
The-Times_2021-08-23_Officers-mobilised-as	Officers mobilised as Extinction Rebellion protests kick off in Trafalgar Square	https://www.thetimes.com/uk/article/officers-mobilised-as-extinction-rebellion-protests-kick-off-in-trafalgar-square-bc2d7ns02	original	969	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
The-Times_2021-03-10_Longer-jail-terms	Longer jail terms don’t stop crime, admits Chris Philp, justice minister	https://www.thetimes.com/uk/law/article/longer-jail-terms-dont-stop-crime-admits-chris-philp-justice-minister-g2jz9s8ng	original	552	Yes	No	No	No	No	No	No	No	No	Unused	Yes
The-Times_2021-04-16_The-Lorax-review	The Lorax review — this stripped-back musical falls flat	https://www.thetimes.com/culture/theatre-dance/article/the-lorax-review-this-stripped-back-musical-falls-flat-t2wnhwl3p	original	442	No	No	No	No	No	No	No	No	No	Unused	No
The-Times_2020-12-11_Laurence-Fox-on	Laurence Fox on his anti-woke party, racism rows and why he needs a bodyguard	https://www.thetimes.com/uk/politics/article/laurence-fox-on-his-anti-woke-party-racism-rows-and-why-he-needs-a-bodyguard-2m9bz2jvh	original	3594	No	No	No	No	No	No	No	No	No	Unused	No
The-Times_2021-09-25_Chaos-This-is	Chaos? This is nothing, warns Cambridge graduate who brought M25 to standstill	https://www.thetimes.com/uk/crime/article/chaos-this-is-nothing-warns-cambridge-graduate-who-brought-m25-to-standstill-cw2pzlfpm	original	928	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
The-Times_2022-07-28_Inside-Jack-Harries	Inside Jack Harries and Alice Aedy’s pad in Hackney, east London	https://www.thetimes.com/uk/article/inside-jack-harries-and-alice-aedys-pad-in-hackney-east-london-t09whjwl0	original	1098	No	No	No	No	No	No	No	No	No	Unused	No
The-Times_2021-02-01_Roc-Sandford-fears	Roc Sandford fears for his children Blue and Lazer in HS2 tunnel protest	https://www.thetimes.com/uk/transport/article/laird-fears-for-his-children-in-hs2-protest-bdbc6w3zr	original	932	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Mirror_2021-08-21_Greenham-Common-40	Greenham Common 40 years on - when ordinary women drove nuclear weapons out of UK	https://www.mirror.co.uk/news/uk-news/greenham-common-40-years-ordinary-24809222	original	1074	No	No	Yes	No	No	No	No	No	No	Unused	No
Mirror_2021-10-04_Extinction-Rebellion-founder	Extinction Rebellion founder admits he would block ambulance carrying dying patient	https://www.mirror.co.uk/news/uk-news/extinction-rebellion-founder-admits-would-25136898	original	770	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Mirror_2021-09-03_Topless-Extinction-Rebellion	Topless Extinction Rebellion activist vows to go on 'boob world tour' for climate change	https://www.mirror.co.uk/news/uk-news/topless-extinction-rebellion-activist-vows-24893295	original	560	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Mirror_2022-11-20_Coronation-Street-star	Coronation Street star claims ITV soap 'could be axed in 10 years' as fans get 'fed up'	https://www.mirror.co.uk/tv/tv-news/coronation-street-star-claims-itv-28541060	original	401	No	No	No	No	No	No	No	No	No	Unused	No
Mirror_2022-04-03_LBC-chaos-as	LBC chaos as Just Stop Oil protester glues himself to microphone and refuses to leave	https://www.mirror.co.uk/3am/celebrity-news/breaking-lbc-chaos-protester-glues-26623335	original	548	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Mirror_2023-04-20_Barry-Hearn-set	Barry Hearn set to SUE Just Stop Oil activist who covered snooker table in orange dust	https://www.mirror.co.uk/sport/other-sports/snooker/snooker-worldchampionships-juststopoil-orange-powder-29764927	original	547	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Mirror_2020-11-11_Extinction-Rebellion-put	Extinction Rebellion put climate change banner and wreath at Cenotaph on Remembrance Day	https://www.mirror.co.uk/news/uk-news/breaking-extinction-rebellion-put-climate-22990863	original	825	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
Mirror_2021-03-22_Why-are-there	Why are there riots in Bristol? 'Kill the Bill' protest explained after police clashes	https://www.mirror.co.uk/news/uk-news/riots-bristol-kill-bill-protest-23771885	original	1573	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
ITV_2021-11-03_COP26-Arrests-made	COP26: Arrests made as Extinction Rebellion block roads and protest outside Glasgow banks	https://www.itv.com/news/2021-11-03/cop26-extinction-rebellion-block-roads-and-protest-outside-banks-in-glasgow	original	711	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
ITV_2021-05-01_Nine-arrested-after	Nine arrested after thousands gather in London at May Day 'Kill The Bill' protest in anger at proposed policing bill	https://www.itv.com/news/2021-05-01/may-day-kill-the-bill-protesters-gather-in-london-in-anger-at-proposed-policing-bill	original	582	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
ITV_2021-06-02_G7-Summit-Cornwall	G7 Summit Cornwall: XR apologises to people of Falmouth ahead of protests	https://www.itv.com/news/westcountry/2021-06-02/g7-summit-cornwall-xr-apologises-to-people-of-falmouth-ahead-of-protests	original	507	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
ITV_2022-07-01_Climate-activists-glue	Climate activists glue themselves to Vincent Van Gogh oil painting at London gallery	https://www.itv.com/news/london/2022-07-01/climate-activists-glue-themselves-to-van-gogh-oil-painting-at-london-gallery	original	399	Yes	No	Yes	No	No	No	No	No	No	Unused	Yes
ITV_2022-11-12_Liquid-death-giant	'Liquid death' giant engine oil fountain sculpture unveiled in Bristol	https://www.itv.com/news/westcountry/2022-11-12/liquid-death-giant-engine-oil-fountain-sculpture-unveiled-in-bristol	original	346	No	No	No	No	No	No	No	No	No	Unused	No
